peak_id	molecularFormula	adduct	ionMass
5128	C11H16N2O8	[M + H]+	305.098
5169	C18H37NO2	[M + H]+	300.29
5216	C10H18N2O8	[M + H]+	295.114
5253	C10H18N4O6	[M + H]+	291.13
5266	C12H25N5O3	[M + H]+	288.203
5301	C10H13N5O5	[M + H]+	284.099
5320	C10H19NO8	[M + H]+	282.118
5347	C15H22N2O3	[M + H]+	279.17
5368	C10H16N2O7	[M + H]+	277.103
5377	C10H17N3O6	[M + H]+	276.12
5384	C10H18N4O5	[M + H]+	275.135
5390	C11H23N5O3	[M + H]+	274.187
5421	C11H14N2O4S	[M + H]+	271.075
5438	C9H16O9	[M + H]+	269.088
5449	C10H13N5O4	[M + H]+	268.104
5450	C9H17NO8	[M + H]+	268.103
5451	C9H17NO8	[M + H]+	268.102
5479	C9H17N3O4S	[M + H]+	264.1
5509	C11H20N2O5	[M + H]+	261.145
5549	C8H20NO6P	[M + H]+	258.11
5579	C9H14BN3O3S	[M + H]+	255.097
5597	C11H12N2O5	[M + H]+	253.08
5608	C9H17NO7	[M + H]+	252.11
5619	C9H18N2O6	[M + H]+	251.124
5630	C9H15NO7	[M + H]+	250.093
5640	C9H16N2O6	[M + H]+	249.108
5641	C8H12N2O7	[M + H]+	249.072
5649	C8H13N3O6	[M + H]+	248.09
5656	C9H18N4O4	[M + H]+	247.14
5660	C8H11ClN4O3	[M + H]+	247.06
5665	C11H23N3O3	[M + H]+	246.181
5666	C11H23N3O3	[M + H]+	246.18
5667	C12H23NO4	[M + H]+	246.17
5669	C9H19N5O3	[M + H]+	246.156
5682	C12H24N2O3	[M + H]+	245.186
5684	C10H16N2O5	[M + H]+	245.113
5711	C6H11O8P	[M + H]+	243.027
5808	C11H11N3O3	[M + H]+	234.088
5826	C8H12N2O4S	[M + H]+	233.06
5833	C11H22N2O3	[M + H]+	231.17
5862	C10H16N2O4	[M + H]+	229.12
5892	C15H31N	[M + H]+	226.253
5928	C7H14N2O4S	[M + H]+	223.075
5935	C8H15NO6	[M + H]+	222.097
5947	C11H12N2O3	[M + H]+	221.09
5963	C9H18N2O4	[M + H]+	219.134
5969	C8H14N2O5	[M + H]+	219.097
5981	C9H19N3O3	[M + H]+	218.15
5991	C8H16N4O3	[M + H]+	217.13
6086	C10H12N2O3	[M + H]+	209.092
6095	C9H23N2O3	[M + H]+	208.18
6109	C7H14N2O5	[M + H]+	207.098
6119	C8H15NO5	[M + H]+	206.102
6133	C10H9BFNO2	[M + H]+	205.08
6134	C6H14O6	[M + Na]+	205.068
6140	C9H17NO4	[M + H]+	204.123
6141	C8H13NO5	[M + H]+	204.087
6142	C8H13NO5	[M + H]+	204.087
6148	C8H18N4O2	[M + H]+	203.15
6149	C9H18N2O3	[M + H]+	203.14
6174	C10H21N3O	[M + H]+	200.176
6258	C6H10N2O5	[M + H]+	191.066
6261	C6H10N2O3S	[M + H]+	191.05
6268	C7H11NO5	[M + H]+	190.07
6269	C9H20N2O2	[M + H]+	189.16
6273	C8H16N2O3	[M + H]+	189.123
6280	C7H12N2O4	[M + H]+	189.087
6284	C9H21N3O	[M + H]+	188.176
6288	C11H9NO2	[M + H]+	188.071
6322	C9H16N2O2	[M + H]+	185.13
6331	C5H13ClN2O3	[M + H]+	185.07
6335	C10H21N3	[M + H]+	184.18
6360	C8H11N3O2	[M + H]+	182.092
6371	C6H13NO5	[M + H]+	180.087
6378	C5H10N2O3S	[M + H]+	179.05
6408	C6H14N4O2	[M + H]+	175.119
6412	C6H10N2O4	[M + H]+	175.07
6415	C8H19N3O	[M + H]+	174.16
6432	C7H12N2O3	[M + H]+	173.092
6439	C8H6O3	[M + Na]+	173.02
6504	C7H9N3O2	[M + H]+	168.077
6507	C5H10FNO4	[M + H]+	168.065
6524	C5H11NO3S	[M + H]+	166.053
6525	C5H11NO3S	[M + H]+	166.053
6621	C6H9N3O2	[M + H]+	156.077
6644	C5H5N5O	[M + H]+	152.057
6660	C5H11NO2S	[M + H]+	150.058
6668	C9H8O2	[M + H]+	149.06
6683	C5H9NO4	[M + H]+	148.06
6685	C5H9NO2S	[M + H]+	148.043
6696	C6H14N2O2	[M + H]+	147.113
6698	C5H10N2O3	[M + H]+	147.076
6708	C7H15NO2	[M + H]+	146.118
6709	C7H15NO2	[M + H]+	146.118
6710	C7H15NO2	[M + H]+	146.118
6714	C6H11NO3	[M + H]+	146.08
6715	C9H7NO	[M + H]+	146.06
6730	C7H10FNO	[M + H]+	144.081
6756	C8H16N2	[M + H]+	141.14
6795	C5H4N4O	[M + H]+	137.046
6796	C5H4N4O	[M + H]+	137.046
6804	C5H5N5	[M + H]+	136.062
6806	C5H5N5	[M + H]+	136.062
6829	C5H11NO3	[M + H]+	134.081
6835	C4H7NO4	[M + H]+	134.045
6838	C4H7NO2S	[M + H]+	134.027
6843	C5H12N2O2	[M + H]+	133.097
6849	C4H8N2O3	[M + H]+	133.061
6850	C5H8O2S	[M + H]+	133.032
6857	C6H13NO2	[M + H]+	132.102
6858	C9H9N	[M + H]+	132.08
6872	C6H14N2O	[M + H]+	131.118
6896	C5H7NO3	[M + H]+	130.05
6927	C6H9NO2	[M + H]+	128.07
6936	C5H10N4	[M + H]+	127.098
6938	C5H6N2O2	[M + H]+	127.05
7004	C5H10FNO	[M + H]+	120.081
7017	C8H6O	[M + H]+	119.05
7072	C5H5NO2	[M + H]+	112.04
7096	C7H6O	[M + H]+	107.05
