id	pathway
Ssq23epx	Sterol synthesis
ddsmsterol	Sterol synthesis
dsmsterol	Sterol synthesis
zymstnl	Sterol synthesis
zymst	Sterol synthesis
chlstol	Sterol synthesis
chsterol	Sterol synthesis
frdp	Sterol synthesis
akg	TCA cycle
cit	TCA cycle
oaa	TCA cycle
succ	TCA cycle
succoa	TCA cycle
mal-L	TCA cycle
fum	TCA cycle
acnt	TCA cycle
acrn	TCA cycle
asp-L	TCA cycle
dtmp	Thymine metabolism
dttp	Thymine metabolism
dtdp	Thymine metabolism
thym	Thymine metabolism
thymd	Thymine metabolism
3hanthrn	Tryptophan catabolism (kynurenine)
Lfmkynr	Tryptophan catabolism (kynurenine)
Lkynr	Tryptophan catabolism (kynurenine)
hLkynr	Tryptophan catabolism (kynurenine)
cmusa	Tryptophan catabolism (kynurenine)
trp-L	Tryptophan catabolism (kynurenine)
am6sa	Tryptophan catabolism (kynurenine)
amuco	Tryptophan catabolism (kynurenine)
4fumacac	Tyrosine catabolism
4mlacac	Tyrosine catabolism
34hpp	Tyrosine catabolism
tyr-L	Tyrosine catabolism
hgentis	Tyrosine catabolism
orot5p	UMP synthesis
orot	UMP synthesis
dhor-S	UMP synthesis
ump	UMP synthesis
cbasp	UMP synthesis
glc-D	Upper glycolysis
g6p	Upper glycolysis
fdp	Upper glycolysis
f6p	Upper glycolysis
56dura	Uracil catabolism
cala	Uracil catabolism
ala-B	Uracil catabolism
orn	Urea cycle
urea	Urea cycle
citr-L	Urea cycle
argsuc	Urea cycle
arg-L	Urea cycle
adma	Urea cycle
dump	Uridine metabolism
duri	Uridine metabolism
uri	Uridine metabolism
ura	Uridine metabolism
utp	Uridine metabolism
udp	Uridine metabolism
3mob	Valine catabolism
3hibutcoa	Valine catabolism
3hmp	Valine catabolism
2mp2coa	Valine catabolism
val-L	Valine catabolism
ibcoa	Valine catabolism
