peak_id	qc
6140	1
2019	1
6709	1
6195	1
2511	1
4904	1
2504	1
5549	1
561	1
560	1
4005	1
4006	1
2289	1
578	1
5081	1
1583	1
5660	1
582	1
1881	1
2143	1
6142	1
1490	1
1974	1
6318	1
7102	1
1506	1
2031	1
5532	1
5948	1
2038	1
6393	1
271	1
662	1
143	1
5450	1
2445	1
2233	1
2234	1
203	1
204	1
256	1
2366	1
6432	1
6805	1
2297	1
5301	1
6795	1
6806	1
6796	1
6804	1
4788	1
5630	1
4245	1
837	1
2329	1
5659	0
1056	1
1473	1
4264	1
3749	1
1679	1
2771	1
5320	1
5090	1
5091	1
5013	1
1330	1
1394	1
3274	1
2399	1
5619	1
5608	1
5790	1
1090	0
1739	1
5818	1
5724	1
2068	1
2406	1
6402	0
6422	0
6722	0
6259	1
1823	1
6132	1
6299	1
1926	1
2256	1
535	1
633	1
2338	1
1257	1
6268	1
1353	1
7025	1
1354	1
2319	1
1635	1
7096	1
5639	1
1945	1
1946	1
1939	1
6274	1
1825	1
219	1
6371	1
691	1
692	1
2276	1
6417	1
6331	1
6102	0
6877	1
2335	1
2336	1
3936	1
5703	1
2088	1
1121	1
2081	1
2082	1
1511	1
1966	1
2089	1
6439	1
1703	1
2391	1
873	1
4903	1
4558	1
5451	1
1751	1
1879	1
1216	1
6157	1
1091	1
1500	1
5518	1
5710	1
4855	1
5517	1
5541	1
6134	1
1431	1
1898	1
3545	1
3905	1
5285	1
591	1
5173	1
3934	0
6938	1
6946	1
5806	0
1662	1
2533	1
6627	1
6400	1
6830	1
1742	1
5687	1
5838	1
2296	1
2043	1
2065	1
5122	1
6319	1
1597	1
1661	1
4713	1
5684	1
5369	1
6843	1
5664	1
2244	1
6152	1
6754	1
2269	1
7006	1
811	1
2298	1
6644	1
6706	1
5827	0
6281	0
7064	1
3799	0
4156	0
5215	0
1517	0
5153	0
5956	0
1359	0
3628	1
1910	0
6353	0
165	1
6191	0
5928	1
6685	1
6829	1
1921	1
1922	1
6524	1
2117	1
2206	1
6660	1
6850	1
6249	1
6684	1
2116	1
2034	1
2035	1
6525	1
6547	1
5946	0
5508	0
6976	1
738	0
4696	0
7017	1
5924	0
6759	0
5436	0
6062	0
5268	0
5753	0
6597	0
1217	0
4700	0
5945	0
5234	0
4517	0
312	0
5402	0
5306	0
5565	0
4725	0
1025	0
4228	0
1278	0
5576	0
1447	0
3779	0
5651	0
5039	0
5910	0
5447	0
4016	0
5485	0
588	1
1566	0
1519	0
5685	0
877	0
6447	0
6550	0
6181	0
6716	1
6833	0
5731	0
1338	0
1453	0
3944	0
5097	0
5120	0
5127	0
5020	0
3892	0
4736	0
4630	0
2811	0
4512	0
2958	0
5249	0
6254	0
6661	0
4979	0
4607	0
6326	0
4312	0
5592	0
6231	0
6735	0
4933	0
4418	0
141	0
2940	0
2941	0
2892	0
3015	0
4290	0
4297	0
2946	0
3056	0
3055	0
5752	0
3058	0
3216	0
1166	0
3131	0
