peak_id	qc
3064	0
4948	0
427	0
428	0
384	0
2835	0
5111	0
3725	0
5380	0
2842	0
4347	0
927	0
933	0
3051	0
5366	0
6370	0
3361	0
3285	0
5410	0
1229	0
5061	0
1153	0
2301	0
4408	0
3121	0
4936	0
466	0
5397	0
4385	0
423	0
422	0
3221	0
2948	0
4078	0
102	0
5899	0
410	0
86	0
49	0
83	0
2730	0
3050	0
2912	0
3163	0
5341	0
4246	0
4448	0
3942	0
3399	0
3565	0
2832	0
4097	0
4098	0
318	0
5317	0
6437	0
1503	0
3807	0
6085	0
4490	0
757	0
1411	0
860	0
1833	0
5086	1
1173	1
3870	1
5032	0
5573	0
2937	0
4118	0
5247	0
953	0
1842	0
4537	0
1155	0
4555	0
3147	1
3454	1
864	0
6063	0
3797	0
5478	0
6562	0
2901	0
2899	0
5778	0
6243	0
5367	0
5885	0
2689	0
266	0
6610	0
1304	1
454	0
1251	1
4572	0
985	0
5505	1
3568	0
4946	0
3005	0
3214	0
3671	0
4452	1
4390	0
4445	0
4369	0
4090	0
4303	0
4027	0
6438	0
5163	0
6732	0
5825	0
6201	0
4694	0
5615	0
6733	0
6775	0
7014	0
6079	0
6177	0
6296	0
6024	0
6789	0
1448	0
4466	0
4749	0
4846	0
6394	0
3968	0
3969	0
4057	0
4058	0
3075	1
33	1
157	1
2593	0
3170	0
485	0
241	1
3362	1
9	1
290	1
408	1
259	1
2772	0
1555	0
5041	0
865	0
5670	0
5479	1
4817	0
5789	0
4984	0
1041	1
3402	1
6250	1
6343	1
839	0
5363	0
2924	1
3129	0
5135	0
279	0
3539	0
1642	1
5947	1
6734	1
3326	0
2814	0
176	1
2202	0
2799	1
121	1
45	1
46	1
2875	0
3223	0
3224	0
1701	0
4994	0
5281	0
1268	1
4608	1
4697	1
1247	1
5119	1
5640	1
1442	1
5776	1
3169	1
6053	0
6054	0
1839	0
4320	0
1226	1
1177	1
1660	1
6258	1
4352	1
5018	1
6261	1
533	1
3484	1
1094	1
538	1
3491	1
4864	1
1236	1
5108	1
5620	1
6260	1
3696	1
3739	1
937	1
1034	1
5826	1
4584	1
4987	1
5240	1
1237	1
708	1
1199	1
1033	1
4745	1
2531	1
6378	1
1246	1
1168	1
1441	1
3728	0
3155	0
3756	0
4286	0
2629	0
3931	0
991	0
1059	0
6412	1
5550	1
374	0
5503	0
3043	0
4742	1
5137	0
1218	0
5953	0
5051	0
4655	0
6138	0
2188	0
2198	0
5396	0
6100	0
6247	0
4142	0
3947	0
4441	0
4589	0
4162	1
5197	0
3212	1
3213	1
5002	0
3817	0
6675	0
3796	0
3904	0
5261	0
1615	0
3444	0
5028	0
6434	0
2869	0
6907	1
3770	0
4898	0
1250	0
4342	0
334	0
148	1
335	1
663	1
6410	0
208	1
2732	1
209	0
278	1
1275	1
272	1
2788	1
5205	1
923	1
1310	1
4653	0
163	1
5271	0
1230	0
367	1
3068	1
1130	0
5383	0
3551	0
4779	0
5331	0
6125	0
6582	0
1798	0
5332	0
5575	1
5657	0
444	1
4983	0
5325	0
2039	1
3583	1
2306	1
6452	1
1508	1
4756	0
5829	1
731	1
5359	1
2815	1
3768	1
6301	0
1225	1
5216	1
790	1
1366	1
4939	1
758	1
6819	1
1607	1
4905	1
2539	1
2061	1
6290	1
1078	1
2255	1
1824	1
4889	1
2424	1
6133	1
6849	1
5649	1
2328	1
2423	1
1116	1
1826	1
1178	1
3037	1
5134	0
311	0
2930	1
115	1
156	1
5082	0
928	0
934	0
2920	1
3162	1
3161	1
380	1
381	1
197	1
4124	1
3142	0
3267	1
3268	0
791	0
792	0
3185	0
5258	0
1443	0
3013	1
5194	0
5777	0
6360	1
6377	1
7084	1
6194	1
4660	1
5888	1
6472	1
2170	1
6505	1
6504	1
2171	1
6621	1
5288	1
986	1
2107	1
1384	1
5872	1
761	1
1115	1
4335	1
3786	1
5667	1
1830	1
1831	1
5223	1
5509	1
2157	1
4830	1
4809	1
6708	1
1425	0
1994	1
4954	1
